Is exercise safe for people with abdominal aortic aneurysm?,"Exercise is safe for most people with abdominal aortic aneurysms — with a few caveats. You should avoid exercise that involves lifting more than 50 pounds and prolonged squatting. This combination is particularly dangerous because it can cause a temporary yet significant increase in blood pressure that could rupture the aneurysm.People with small- to medium-sized abdominal aortic aneurysms — up to 5.5 centimeters — who aren't candidates for surgery may participate in moderate exercise, such as walking or riding a bike. However, check with your doctor for specific recommendations based on your overall health and specific circumstances.People with large abdominal aortic aneurysms — more than 5.5 centimeters — should avoid even mild exercise, unless otherwise directed by their doctors."
"
		My fiance had a semen analysis done. He was told he had abnormal sperm morphology. What does this mean?
	","
Sperm morphology — the size and shape of sperm — is one of the things checked in a semen analysis for male infertility. Sperm morphology results are reported as the percentage of sperm that appear normal when semen is viewed under a microscope. 

Normal sperm have an oval head with a long tail. Abnormal sperm have head or tail defects — such as a large or misshapen head or a crooked or double tail. These defects may affect the ability of the sperm to reach and penetrate an egg. 

However, having a large percentage of misshapen sperm isn't uncommon; in fact, if your sperm sample contains only 4 percent ""morphologically normal forms,"" it's considered normal. 

Morphology is just one piece of a fertility analysis and, by itself, does not determine fertility. Other important factors checked in a sperm analysis are: 

If a semen analysis shows irregularities in any of these areas, a wait-and-see approach is generally tried first. Another semen analysis is usually done after four to six weeks to see whether sperm quality has improved on its own. If there are still abnormalities, tests may be necessary to look for an underlying problem. 

Even with abnormal sperm morphology, motility problems or a low sperm count, it's important to remember that an abnormal semen analysis does not mean you are infertile. Many men with low semen analysis values are still able to father children. It just may take longer, a year or more. If you and your partner aren't able to conceive through sexual intercourse, assisted reproductive technology such as in vitro fertilization may be an option. 
"
"
		Could an abortion increase the risk of problems in a subsequent pregnancy?
	","
Generally, abortion isn't thought to cause fertility issues or complications in subsequent pregnancies. However, some research suggests a possible link between abortion and an increased risk of:

During a medical abortion, a woman takes oral medications — such as mifepristone (Mifeprex) — in early pregnancy to abort the fetus. During a surgical abortion, the fetus is removed from the uterus — typically with a vacuum device, a syringe or a spoon-shaped instrument with a sharp edge (curette) — as an outpatient surgical procedure. Rarely, a surgical abortion can damage the cervix or uterus. In such cases, surgery might be needed to correct the damage before a woman can conceive again.

If you've had an abortion and are concerned about the possible impact on a future pregnancy, consult your health care provider. He or she can help you understand the potential risks, as well as what you can do to help ensure a healthy pregnancy.
"
"
		What are acai berries, and what are their possible health benefits?
	","
The acai (ah-sigh-EE) berry is a grape-like fruit harvested from acai palm trees, which are native to the rainforests of South America. Acai berries are widely touted as a so-called superfood, with proponents claiming that they are helpful for a variety of health concerns, including arthritis, cancer, weight loss, high cholesterol, erectile dysfunction, detoxification and improving general health.

Acai berries may be a good source of antioxidants, fiber and heart-healthy fats. But research on acai berries is limited, and claims about the health benefits of acai haven't been proved. 

Many fruits besides acai berries provide antioxidants and other nutrients that are important to your health. But if you'd like to try acai, check your local health food or gourmet stores — acai can be consumed raw, in tablet form, in beverages such as juice, smoothies or energy drinks, or in other food products such as jelly or ice cream. 
"
Are ACE inhibitors safe for people with kidney disease? I've heard conflicting advice on this.,"Angiotensin-converting enzyme (ACE) inhibitors and angiotensin receptor blockers (ARBs) are often the first medications used to treat high blood pressure in people with kidney disease. ACE inhibitors and ARBs are a good choice because they lower blood pressure and help protect the kidneys from further damage. However, these medications must be used with appropriate caution.All ACE inhibitors and ARBs initially increase serum creatinine and potassium levels. But this increase may be only temporary. Sometimes ACE inhibitors and ARBs cause a persistent decline in kidney function marked by an increase in both serum creatinine and potassium levels. For this reason, your doctor may want to recheck these levels within three to five days after you start the medication.If your serum creatinine and potassium levels are high, your doctor will likely adjust your dosage and then recheck your levels again in three to five days. Typically, a dose can be identified that will lower blood pressure while maintaining acceptable kidney function and serum potassium levels.It is important to note that the blood pressure goal in people with kidney disease is 125/75 millimeters of mercury (mm Hg) or lower."
"
		I've read that the dietary supplement acetyl-L-carnitine may reduce fatigue in multiple sclerosis. Is this true?
	","
Some research suggests that acetyl-L-carnitine can improve fatigue associated with multiple sclerosis (MS), although more study is needed. 

Acetyl-L-carnitine is a form of L-carnitine, an amino acid that is found in nearly all cells of the body. L-carnitine plays a critical role in the production of energy from long-chain fatty acids. In addition, it increases the activity of certain nerve cells in the central nervous system. 

Fatigue is a common symptom in people with multiple sclerosis. The cause isn't well understood. A study published in 2006 evaluated the benefit of supplementation with L-carnitine in people with MS-related fatigue who had low blood levels of L-carnitine. Study participants were given 3 to 6 grams of oral L-carnitine daily. Researchers reported a decrease in fatigue intensity in 65 percent of participants treated with immunosuppressive drugs, especially in those treated with cyclophosphamide and interferon beta. Another study published in 2004 showed that acetyl-L-carnitine seemed to improve fatigue in people with MS better than amantadine, a drug commonly used to treat MS-related fatigue. 

However, problems with the design of these studies make it unclear whether acetyl-L-carnitine is truly effective at reducing MS-related fatigue. A recent systematic review published in 2012 concluded that there is still insufficient evidence that carnitine offers a therapeutic advantage over placebo or other medications. An ongoing larger scale randomized, placebo-controlled clinical trial expected to be completed in 2013 may answer some of these questions. 

Although acetyl-L-carnitine generally has few or mild side effects, it can interfere with anticoagulants and other medications. So talk to your doctor before starting acetyl-L-carnitine or any dietary supplement. 
"
"
		Is acid reflux the same as GERD?
	","
Acid reflux and gastroesophageal reflux disease (GERD) are closely related, but the terms aren't necessarily interchangeable. 

Acid reflux is the backward flow of stomach acid into the esophagus — the tube that connects the throat and stomach. Acid reflux is more specifically known as gastroesophageal reflux. During an episode of acid reflux, you may taste regurgitated food or sour liquid at the back of your mouth or feel a burning sensation in your chest (heartburn). 

Sometimes acid reflux progresses to GERD, a more severe form of reflux. The most common symptom of GERD is frequent heartburn. Other signs and symptoms may include regurgitation of food or sour liquid, difficulty swallowing, coughing, wheezing and chest pain — especially while lying down at night. 

If you have occasional acid reflux, lifestyle changes can help. Lose excess weight, eat smaller meals, and avoid foods that seem to trigger heartburn — such as fried or fatty foods, chocolate and peppermint. Avoiding alcohol and nicotine may help, too. 

If necessary, occasional acid reflux can be treated with over-the-counter medication, including: 

If you suspect that you have GERD, your signs and symptoms worsen, or you experience nausea, vomiting or difficulty swallowing, talk to your doctor. Prescription medications may help. In a few cases, GERD may be treated with surgery or other procedures. 
"
"
		What's the best treatment for acne scars?
	","
Acne scars are stubborn, and no single treatment is best for everyone. However, various procedures can improve your complexion. 

To determine what's best for you, discuss the pros and cons of each procedure with your doctor or dermatologist.
"
"
		Can I harm my natural nails by wearing acrylic nails every day?
	","
Acrylic nails aren't likely to harm your natural nails. It's important to be cautious when using acrylic nails, however. 

Sometimes a gap develops between the acrylic nail and the natural nail. If the acrylic nail is bumped or jarred, it can separate from the natural nail. This gap provides a moist, warm environment in which a nail infection can flourish. A nail infection might also occur if acrylic nails are too long or too rigid, or the nails are applied with unsanitary tools. If you develop a nail infection, your natural nail might become thick or ragged and appear discolored. 

It's also possible to have an allergic reaction to components of acrylic nails or the adhesives used to apply them. This can result in redness, swelling and pain around the nail. 

If you choose to have acrylic nails applied in a salon, take steps to minimize the risks: 

If you opt to apply acrylic nails at home, follow the safety precautions printed on the package. Work in a well-ventilated area, and be careful to protect the skin around your nails from the chemicals used to apply acrylic nails. 

If you suspect a nail infection or have redness, swelling or pain around a nail, consult a dermatologist for an evaluation. 
"
"
		I have chronic low back pain. Would acupuncture treatments help?
	","
Many people who have chronic low back pain have found acupuncture to be helpful. But the scientific evidence to support these claims has been mixed, partly because it can be difficult to devise a good form of sham acupuncture for comparison. 

Acupuncture for back pain involves inserting very thin needles to various depths into strategic points on your body. Scientific studies have indicated that sham acupuncture works just as well as real acupuncture for back pain. A key point, though, is that both sham acupuncture and real acupuncture relieved low back pain better than having no treatment at all. 

So if other treatments haven't helped your low back pain, it may be worth trying acupuncture. But if your back pain doesn't begin to improve within a few weeks, acupuncture may not be the right treatment for you. 
"
"
		Is acute bronchitis contagious?
	","
In otherwise healthy people, most cases of acute bronchitis are caused by viral infections — which can spread from person to person through direct and indirect contact. To reduce the risk of ""catching"" bronchitis, wash your hands often or use hand sanitizers regularly. It's also helpful to get an annual flu vaccination. Many cases of acute bronchitis result from influenza. 

Sometimes people who have chronic bronchitis or asthma also develop acute bronchitis. When acute bronchitis develops as a complication of a chronic disease, it's less likely to be contagious. 
"
What is acute respiratory distress syndrome?,"Acute respiratory distress syndrome (ARDS) is a life-threatening condition caused by widespread inflammation of the lungs. This inflammation causes fluid to leak from small blood vessels in the lungs. As a result, fluid builds up in the air sacs (alveoli) and other lung tissue. When the air sacs fill with fluid, the lungs can no longer fill properly with air and the lungs become stiff. This makes breathing very difficult.In most cases, the cause of ARDS can't be determined. Doctors refer to this as idiopathic ARDS. Known causes of ARDS include:The main symptom of ARDS is severe shortness of breath. This may develop within minutes or gradually over a few days. A doctor may confirm a diagnosis of ARDS by:Treatment depends on the underlying cause but may include:If the cause is sepsis, additional treatment is with antibiotics. The medication drotrecogin alfa (Xigris) also is effective in treating some people with sepsis-induced ARDS."
"
		I have acute sinusitis, and my doctor doesn't think I need antibiotics. Are there nonprescription medications that can help relieve symptoms?
	","
Yes. Over-the-counter (OTC) pain relievers and decongestants may help relieve facial pain and sinus congestion associated with acute sinusitis. 

<strong>OTC medications that may help</strong> include: 

<strong>Other home remedies</strong> you may want to try: 

Most people with acute sinusitis get better without antibiotics. However, if your symptoms are severe or last longer than a few days, talk to your doctor. 
"
"
		What does the research say about the relationship between food additives and ADHD?
	","
There's no evidence that food additives cause attention-deficit/hyperactivity disorder (ADHD), but some studies show that certain food colorings and preservatives may increase hyperactive behavior in some children. Because several studies have looked at a combination of food additives and their possible effects on hyperactivity and ADHD, it isn't clear which additives might affect behavior.

Food additives that may increase hyperactive behavior include: 

The British government has requested that food manufacturers remove most artificial food dyes from their products. In the U.S., the Food and Drug Administration (FDA) requires that FD&amp;C Yellow No. 5 be clearly labeled on food packaging along with other ingredients. But many colorings and food additives don't require labeling. The FDA's food advisory committee has determined that studies to date have not proved a link between food colorings and hyperactive behavior. More research is needed regarding whether limiting certain foods helps prevent hyperactivity and ADHD symptoms.

Talk with your child's doctor about the pros and cons of trying an elimination diet to see if it makes a difference. Make sure your doctor or a dietitian helps supervise the diet plan, however. A diet that eliminates too many foods can be unhealthy because it may lack necessary vitamins and nutrients.

The approach for your child's overall health and nutrition is a diet that limits sugary and processed foods and is rich in fruits; vegetables; grains; and healthy fats, such as omega-3 fatty acids found in fish, flaxseed and other foods.
"
Is it true that caffeine can have a calming effect on a child with ADHD?,"Some studies suggest that high doses of caffeine combined with methylphenidate (Ritalin, Concerta, others) may be more effective in treating attention-deficit hyperactivity disorder (ADHD) than methylphenidate alone. Like methylphenidate, caffeine is a stimulant. However, too much caffeine also can cause insomnia, nervousness, irritability and increased heart rate. Because of their smaller body size, children are even more susceptible to these effects than adults are. For these reasons, most pediatricians discourage caffeine consumption in children. Caffeine is not recommended as a treatment for ADHD in children."
