"What kind of over-the-counter allergy medicine helps upper puffy cheeks or ""malar mounds""?","This sounds like a very unfortunate problem, and I am sorry to hear that you have been suffering from this for so long. Given that this has been a problem over such an extended amount of time, I would say that you should probably speak to an allergist to see what can be done for you. This may include allergy testing and potentially immunotherapy (<a href=""/procedure/allergy-shots-1443"">allergy shots</a>). While these aren't for everybody, they can make a big difference for many people by altering the reactions of their immune system. Now, as for what your <a href=""/allergists"">doctor</a> may have given you in the past, you could always speak to him or her. Otherwise, it is quite possible that what you were prescribed previously was a steroid, as these help to alleviate symptoms of allergies very quickly. Unfortunately, they have lots of other unintended side effects as well, and so are often not used for chronic problems like what you are describing. Over the counter medications are less effective, but may have some benefit. 2nd generation anti-histamines are effective for some, as are nasal decongestants. All of these should be discussed with a doctor if they are going to be used regularly. Again, please speak to your doctor. "
Irrational fear of anaphylaxis?,"So sorry that you are so worried about this problem and you should definitely discuss your concerns with your <a href=""/allergists"">doctor</a>. The good news is that it is quite unlikely that you are prone to anaphylaxis. This condition is quite rare in the general population, and if you are old enough to write out this question on the internet and find this site then you have likely had ample opportunities to develop anaphylaxis--but haven't. You're right, the fear of the unknown can sometimes be intolerable. Perhaps it might help to think about what might happen if you DID happen to have an anaphylactic reaction. Odds are, that with appropriate and timely medical care, you would end up just fine. Medical professionals are very well trained with regards to anaphylaxis, and would know how to help you if this was needed. Again, that is very unlikely. In most instances, you would have some sort of warning before the symptoms became problematic, and that would give you the ability to react and treat any impending reaction. It is important to take medication that you have been prescribed, as the risk of not taking this could be much higher than the risk of anaphylaxis. Please speak with your doctor about your concerns. "
Am I really allergic to everything?,"Allergy testing is tricky this way, because it often gives results, such as yours, which are hard to interpret or which do not correlate well with symptoms. The best way to approach the result of allergy testing are to interpret them together with what you know practically about your symptoms. They are meant to help guide and refine treatment. 

Therefore, I would suggest that you sit down with your allergy <a href=""/allergists"">doctor</a> and go through the results again in detail and explain to them your concerns and questions. In particular, make sure that they understand that you do not have any outdoor allergy symptoms, which would make the utility of treatments for those allergens seem less useful. On the other hand, if you had positive testing to indoor allergens like dust and mold, then that seems to make a fair bit more sense, as treatment for those should help improve your symptoms quite a bit. 

I'm sure that after you explain your symptoms in a bit more detail to the allergy doctor, that together you will be able to come up with a treatment plan that makes sense to both of you. Hopefully you'll be feeling a lot better very soon!"
Why do I break out into hives every two nights and need a cetrizine antihistamine tablet?,"<a href=""/procedure/hives-505"">Hives</a> (or urticaria, which is the technical medical name) are a common skin condition which occurs when certain cells in the skin release various chemicals, causing a localized red, raised, and itchy rash. For most people, hives occur for a brief episode following exposure to a substance that provokes an allergic reaction. However, for other people, hives can become a chronic problem, and it sounds like this is what is going on with you. 

I suggest that you make an appointment to see an allergy specialist. Cases of chronic hives can be difficult to manage, because it can sometimes be hard to figure out what the 'trigger' is. An allergy <a href=""/allergists"">doctor</a> can perform additional testing to identify any common allergens that might be causing your flare ups. They can also consider other, non-allergy triggers of hives, which are also quite common - things like stress, heat, cold, and exercise. 

If a trigger can be identified, then avoidance will obviously be the most important component of treatment. However, the allergy doctor can also give you advice on which medications you should take to keep the hives in check. It will probably be necessary to take an anti histamine medication on a regular basis, but they can give you specific advice on dosage and frequency. Remember to book an appointment soon!"
Are these just food allergies or something else?,"It is possible that these reactions represent allergies, especially in the case of the symptoms you have when eating bananas, which do sound to me very consistent with a food allergy. 

What I would do is make an appointment with an allergy specialist to discuss this issue. They will be able to provide further advice about how to treat the symptoms.

In the meantime, I strongly suggest that you avoid all of the foods that cause these symptoms. Allergy symptoms may sometimes worsen over time with repeated exposure to the food item in question. Therefore, you should avoid continuing to expose yourself to these foods. 

Furthermore, if you experience an episode in which you develop swelling of the face or tongue, any trouble breathing, or severe <a href=""/procedure/abdominal-pain-1063"">abdominal pain</a> and <a href=""/procedure/vomiting-1119"">vomiting</a> you should go immediately to an emergency room for evaluation, as these could be symptoms of anaphylaxis, which is a very severe and potentially life threatening allergic reaction.

When you go to see the allergy <a href=""/allergists"">doctor</a>, they may want to perform formal allergy testing. They will also be able to discuss medications for treating hives, and they will likely want to give you an emergency medication that you can carry with you in case of a serious reaction. Good luck, and please see a doctor soon!"
My allergy meds are not helping me. Should i consider allergy shots?,"I'm very sorry to hear that you are having such problems with your allergy and <a href=""/procedure/asthma-210"">asthma</a> symptoms! Please see a specialist to help with this problem, if you have not done so already. An allergy specialist would be a good place to start, as an allergy <a href=""/allergists"">doctor</a> will be able to help you both manage your asthma symptoms and also your other non asthma allergy symptoms. Depending on how severe the sinus symptoms are, it may also be necessary to consult with an ear, nose, and <a href=""/ear-nose-throat-doctors"">throat specialist</a>. 

The first priority will be to make sure that your asthma symptoms are under control. I say this because of all of the symptoms you have, the asthma symptoms are the ones that are most likely to be life-threatening or disabling if not properly addressed. An allergist will be able to review your prior allergy testing and symptoms and help you come up with a plan both to improve your asthma with medications and also to avoid potential allergic triggers. 

Allergy shots are a good option for people who suffer from certain classes of severe allergies, especially when they are taking optimal medications without relief. In particular, allergy shots are very useful in cases of chronic nasal allergies and sinus congestion. Your allergy doctor will be able to provide an opinion on whether it would be useful to pursue this in your case. Please be sure to discuss this with your doctor soon."
I have hives - what should I do?,"Sorry to hear that you've had such persistent trouble with <a href=""/procedure/hives-505"">hives</a>! Hives are a very common medical problem and, many times, they can be a chronic issue with no clear cause. 

My basic approach to hives is, first, to try to figure out whether or not there is any allergic component. You should discuss this issue with an allergy specialist, because testing for various common allergens can help to rule in or rule out potential triggers. If a trigger is identified with allergy testing, then avoiding that trigger will often clear up or at least control the hive outbreaks. 

If there is no allergic component, then it can be helpful to talk to your <a href=""/allergists"">doctor</a> about how to look for physical or environmental triggers. Among the ""physical urticarias"" or types of hives triggered by the environment, common triggers include heat/cold, exercise, and sunlight. If you and your doctor can identify a physical trigger, then simply avoiding this trigger should do the trick. 

In terms of which anti histamines to use, individual people will react differently to different anti histamines. Therefore, the best approach is to work with your doctor to try different anti histamines until you find the one that works best for you. Looking over the list of meds you have tried, there are still quite a few different anti histamines that you haven't tried. You should, of course, do this in consultation with an allergy doctor. Good luck!"
What helps dermatographic urticaria?,"Dermatographism is a fairly common condition in which the skin is very sensitive to mechanical stimulation (like scraping or scratching over the skin). When this occurs, certain inflammatory cells under the skin surface release chemicals which cause redness and swelling that generally match the pattern of the mechanical stimulation (if you scratch in a long, straight line, you will get one long, straight hive, for example). 

Unfortunately, there is no cure for dermatographism. Treatment involves trying to limit exposure of the skin to the sorts of things that cause you to break out in <a href=""/procedure/hives-505"">hives</a>. This could mean, for example, that you try to refrain from scratching yourself. 

Additionally, for some people, typical anti histamine medications may be of some benefit. If taken regularly, they can help to reduce the severity of the skin reaction. 

I recommend that you talk to either your <a href=""/primary-care-doctors"">primary care doctor</a> or an allergy doctor. They will be able to confirm the diagnosis of dermatographism and also help determine whether there are any additional treatments that might be of benefit to you. For example, in some cases that do not respond to anti histamines, there may be a role for sun or light therapy."
What are spots that appear on hands and feet?,"Of all the symptoms you mention, the tongue swelling is most worrisome to me, because that could definitely indicate a serious allergic reaction. I would definitely suggest that you follow up with either your <a href=""/primary-care-doctors"">primary care doctor</a> or an allergy specialist about this issue. If possible, prior to this visit, you should try to think back to see if you can remember any association between the tongue swelling episode and ingesting any particular food or any other specific  environmental exposures, as these might be clues to the potential allergy. In some cases, your doctor might recommend that additional blood or skin testing for allergies be performed to see if the offending agent can be identified. They may also recommend that you care a special emergency medication with you at all times that you can use in case of another episode of tongue swelling. 

At the same visit, your doctor can also look at the red spots on your hands or feet, which could also be consistent with an allergic exposure, although they could also be related to something else entirely. 

In the meantime, while waiting for your appointment, if you experience another episode of tongue swelling, you should go immediately to the closest emergency room for evaluation and treatment.  "
Why do I get heat rash?,"It sounds like the rash you have is probably urticaria, or <a href=""/procedure/hives-505"">hives</a>. This is a very common skin reaction characterized by raised, red, blotchy spots that come and go over large areas of the skin. Often, hives are quite itchy, but other times they may just be flushed and warm, as in your case. 

Many times, hives can be brought on by a specific allergic reaction, such as exposure to a specific environmental substance that your body reacts to. For example, people with certain food allergies may break out in hives when they eat those foods. 

However, it is also possible to break out in hives because of non-allergic triggers, such as stress, heat or cold, or exercise. This type of non allergic hives is called ""physical urticaria."" Generally speaking, we don't totally understand why physical urticaria occurs, but this doesn't mean that there is nothing that can be done about it! First of all, it can be helpful to identify which events or environments specifically trigger your hives and then try to avoid as many of those as possible. For example, if drinking alcohol causes you to break out, then you should avoid alcohol. Second, there are also medications that can be taken to help prevent breakouts. 

Start by seeing your <a href=""/primary-care-doctors"">primary care doctor</a> or an allergy doctor, who can give you more advice. "
Can I still have cats even though I am allergic to them?,"This depends quite a lot on what types of allergic symptoms you have and what complications they have given you. I suggest that you ask your allergist specifically what they think, as they will be the ones most able to give you a good answer, since they known your specific situation well. 

If, for example, you have <a href=""/procedure/asthma-210"">asthma</a>, and the asthma is made worse by your allergy to cats, then this is a serious problem. Asthma flares are a leading cause of death and hospitalization, even in otherwise healthy people. For many people, getting their asthma under control requites eliminating exposures to allergens, such as <a href=""/procedure/pet-ct-scan-250"">pet</a> dander. 

On the other hand, if you just have mild allergic rhinitis (nasal allergies), then it is unlikely that your allergy will cause significant serious problems for you. However, if you continue to be around cats, you will likely continue to suffer from the symptoms, such as sneezing and nasal congestion and itching. 

Talk to your allergy <a href=""/allergists"">doctor</a> at your earliest convenience. They will help explain to you the risks and benefits of continuing to be exposed to cats, and they will be able to make a recommendation about what they think you should do for your health. "
